n_cells	n_genes	n_reps	bundle_bytes_mean	bundle_bytes_sd	bundle_bytes_se	shard_bytes_mean	shard_bytes_sd	shard_bytes_se	prepare_seconds_mean	prepare_seconds_sd	prepare_seconds_se	prepare_peak_mb_mean	prepare_peak_mb_sd	prepare_peak_mb_se	load_seconds_mean	load_seconds_sd	load_seconds_se	fetch_median_mean	fetch_median_sd	fetch_median_se	fetch_max_mean	fetch_max_sd	fetch_max_se
500	2000	5	2708818	78.635233833187	35.1667456555195	1107537.8	296.314360097515	132.515810377479	29.5841155529022	1.05890992954759	0.473558916903583	264.92	8.76709758129791	3.92076523143122	0.100007390975952	0.00293053333699783	0.00131057435037129	0.0142021656036377	0.000354504913173685	0.000158539416842804	0.020050048828125	0.00393285771317462	0.00175882743849856
1000	2000	5	2743507.2	186.085195542257	83.2198293677655	2181713.2	457.153912812742	204.445445045861	29.9651753425598	0.582627928686605	0.26055913082663	291.78	7.40520087506071	3.31170650873534	0.100426959991455	0.00228040796171172	0.00101982944376383	0.0145450592041016	0.000472838161360468	0.000211459654231604	0.0309316158294678	0.0268857530707673	0.0120236742985019
2000	2000	5	2846316	144.734239211045	64.7271195095224	4338051.2	308.560690950743	137.992536030033	32.3493521690369	0.205380587606064	0.0918489910292018	298.74	1.2218837915285	0.546443043692581	0.0993805885314941	0.00159331407043854	0.000712551714201491	0.0162559986114502	0.000415794127503472	0.000185948786748596	0.0248415946960449	0.00611249378249594	0.00273359032194115
4000	2000	5	3051963.8	209.535677153081	93.7072035651475	8617904.6	226.097987607143	101.114093973096	36.568999004364	0.260681760771728	0.116580427515984	288.98	6.54194160781033	2.92564522797963	0.103050899505615	0.00629146654657671	0.00281362937526227	0.0210481643676758	0.000502543627416626	0.00022474434251258	0.0364476203918457	0.0204729981555412	0.0091558031158036
6000	2000	5	3249959	27.2763633939717	12.1983605455815	12874172.4	704.035013333854	314.854029670894	39.9780883789062	0.213546389506813	0.0955008486573764	310.7	12.5592595323132	5.61667161226291	0.102124404907227	0.000754750557353448	0.000337534710459633	0.02501220703125	0.000270951433823812	0.000121173164926216	0.047835636138916	0.0277158021454651	0.0123948835296389
8000	2000	5	3479685.2	38.4798648646276	17.2087187204626	17118570.4	574.831540540357	257.072480051833	45.1492280006409	0.273984291070692	0.122529499920231	319.08	14.4672734127755	6.46996136000826	0.104452705383301	0.00359613263468081	0.00160823940545034	0.0291412353515625	0.000601430144535019	0.000268967737379565	0.0695497989654541	0.0297298370102583	0.0132955873029853
10000	2000	5	3652705.8	128.861165600812	57.6284651886548	21352253	525.983840055947	235.227124286295	48.4780486106873	0.405247839191629	0.181232343233477	369.24	11.4835969974568	5.1356207025052	0.109167003631592	0.00314107147653688	0.00140472986874442	0.0347611427307129	0.000252165120859348	0.000112771670359191	0.0417983531951904	0.00405160418889127	0.00181193247685676
500	5000	5	6516680.6	252.426821078902	112.88870625532	2759440.8	230.945231602646	103.28184738859	988.395844173431	651.656147301443	291.429488664329	339.72	1.67839208768394	0.750599760191814	0.118282842636108	0.00638507966174598	0.00285549443308308	0.0126209735870361	0.00016559885847947	7.40580609112923e-05	0.01980299949646	0.00202295938506551	0.000904694940145529
1000	5000	5	6571739	337.631455880521	150.993377338213	5436868	131.557972012341	58.834513680322	365.070069026947	647.878438365449	289.74004586831	356.24	14.0535760573599	6.28495027824406	0.119529628753662	0.00204402365782616	0.000914115169303415	0.0143759250640869	0.00100685258394675	0.000450278164205247	0.0211430072784424	0.0012948119619009	0.000579057512978057
2000	5000	5	6670285.6	219.028080391533	97.9523353473515	10808411.4	687.386572461232	307.40862056878	81.5987339496613	0.878754012015871	0.392990741273631	356.06	8.11960590176641	3.63119814937163	0.118628120422363	0.00228895497162738	0.00102365178279898	0.0162514686584473	0.000535280231038944	0.000239384596722974	0.0242161750793457	0.0024298125513196	0.00108664520746656
4000	5000	5	6872282	338.594152341708	151.423908283996	21472619.2	863.959605537203	386.374481559018	96.2280142307281	0.466390527761416	0.208576184827306	373.4	4.15331193145902	1.85741756210066	0.120735216140747	0.00383966965864354	0.00171715247357408	0.0202679634094238	0.000493219500140938	0.000220574466028721	0.0290037631988525	0.00287511878572598	0.00128579220965399
6000	5000	5	7073949.8	436.351578431888	195.142358292606	32076867.8	580.630433236151	259.665823704237	107.914912033081	0.5049987106703	0.225842289121708	425.36	0.31304951684994	0.139999999999986	0.122547960281372	0.0027123245467113	0.00121298841269756	0.0247640132904053	0.000448918487573724	0.000200762450914248	0.045236349105835	0.0303042119621569	0.013552455590389
8000	5000	5	7275089.2	259.766626031906	116.171166818622	42652983.8	729.584265181206	326.280002451882	124.792512702942	2.66142807229115	1.19022681737385	475.88	0.216794833886787	0.0969535971483263	0.127923583984375	0.0116653293914428	0.00521689389983849	0.0298784255981445	0.000754994855842488	0.000337643964065291	0.0518888473510742	0.0287049375713583	0.012837238339889
10000	5000	5	7477131.2	89.9316407055937	40.2186523891589	53201288.2	2137.06684500041	955.725347576384	147.7926861763	5.7208501763544	2.55844197668402	473.28	1.54983870128473	0.693108938046529	0.126600122451782	0.00264578624498992	0.00118323157954627	0.0355714321136475	0.000830500596206774	0.00037141115769449	0.055957555770874	0.0303396745200442	0.0135683149284074
500	8000	5	10358782.6	394.07461222464	176.235524228233	4412041.8	328.92506745458	147.099762066429	301.449747037888	405.350431223444	181.278223784895	392.06	39.9105625116961	17.8485461592814	0.140604448318481	0.0115505351287979	0.00516555634489827	0.0132323265075684	0.000319885533212629	0.000143057159456441	0.0209914207458496	0.0020175458122079	0.000902273916763379
1000	8000	5	10410004.6	432.362463680648	193.358371941843	8691094.8	895.908030994253	400.662251778228	122.967014455795	2.5375584185641	1.13483062415724	371.34	16.2295409670144	7.25807136917239	0.136698246002197	0.00318246002301985	0.00142323938942958	0.014136791229248	0.000576712982268318	0.000257913886371718	0.0366661548614502	0.0284582650799908	0.0127269230481136
2000	8000	5	10492241	297.360891846927	132.983833603938	17279759.6	696.878253355635	311.653429308904	137.200395441055	1.34855079259764	0.60309024867191	373.42	7.95531269027184	3.55772399154291	0.13822979927063	0.00218655160328642	0.000977855604251916	0.0160596370697021	0.000222638340653283	9.9566892819699e-05	0.0244748115539551	0.00120099959668495	0.000537103347827476
4000	8000	5	10714694.4	374.738308690211	167.588066400922	34326037.6	791.963888065611	354.177017887948	162.951864051819	3.40796316088913	1.52408745851263	428.88	38.6262475526681	17.2741830487002	0.141029214859009	0.00149106067856582	0.000666822607170026	0.0205028057098389	0.000304112453863833	0.00013600322392876	0.02883620262146	0.000580045512870046	0.00025940423936423
6000	8000	5	10895617.6	102.914041801884	46.0245586616537	51281143.2	1258.84538367506	562.972770211846	385.8196641922	439.430799708118	196.519427910889	504.12	0.0836660026534266	0.0374165738677479	0.142715454101562	0.00423916644250553	0.00189581286667566	0.0248313903808594	0.000224794813048736	0.000100531296593266	0.038507604598999	0.012707620214247	0.00568302052626134
8000	8000	5	11118219.2	197.214857452475	88.197165487333	68185894	838.175995838583	374.84370076073	217.455653858185	1.17083165738226	0.523611835223095	504.06	0.18165902124585	0.0812403840463599	0.142435073852539	0.0025358030662333	0.00113404560673001	0.0295514583587646	0.00062197241819361	0.000278154521442168	0.0381059646606445	0.00352295856308489	0.00157551496579456
10000	8000	5	11319541.8	186.485120049831	83.3986810447264	85049718.6	1815.10999666687	811.741867837307	459.521360445023	475.69211112124	212.735979365495	505.1	0	0	0.143922567367554	0.00164318550863894	0.00073485489939185	0.0354551792144775	0.000437099758782901	0.000195476954717465	0.0466111660003662	0.00506826736850269	0.0022665980728232
500	10000	5	12888831	188.309585523414	84.2146068090328	5513722.6	407.257658000436	182.131161529267	173.826320123672	19.4631719574305	8.70419511091643	395.34	80.3083930856545	35.9150052206595	0.170206785202026	0.020484892717318	0.00916112252554268	0.0139780044555664	0.000696106557127733	0.00031130831626419	0.0243487358093262	0.00167402060748347	0.000748644774813708
1000	10000	5	12939795.4	547.398666421466	244.804125782226	10860792.8	926.377730734067	414.288715752674	173.29172706604	2.30781710711123	1.03208718622753	344.56	13.5282297437617	6.05000826445716	0.181666564941406	0.0142955741542744	0.0063931751172693	0.0145848274230957	0.000840386809141978	0.000375832406527121	0.024563455581665	0.000864781729774818	0.00038674214669527
2000	10000	5	13034348	279.669447741436	125.071979275935	21592742.8	355.59485373104	159.02685307834	371.62463259697	397.484724923355	177.760572989285	356.26	7.0645594342464	3.15936702521248	0.154678630828857	0.00460704845732095	0.00206033470524104	0.0162739753723145	0.000288155411075109	0.000128867017449668	0.0242717742919922	0.00104564059040277	0.00046762468803472
4000	10000	5	13236309.2	166.50735719481	74.4643538882867	42895694.8	2323.28586273838	1039.00502404945	211.929977941513	10.9966491397261	4.91785100022842	475.04	38.1473196961464	17.06	0.158099412918091	0.00795931850938504	0.00355951544831145	0.0209494590759277	0.0016949254477931	0.000757993703611927	0.0502347946166992	0.0300777764108761	0.0134511905333517
6000	10000	5	13446823	254.0797119016	113.627901503108	64082470.6	1483.52529469504	663.452681055703	264.735646820068	10.5997012065538	4.74033048780816	519.84	0.804984471899955	0.360000000000014	0.164766597747803	0.015891097044147	0.00710671464555173	0.0251426696777344	0.000354463445291679	0.000158520871842195	0.0534763336181641	0.0430958579514345	0.0192730535856165
8000	10000	5	13643574	573.695476712167	256.56441686251	85206079.6	1460.97546180625	653.368089211587	294.39676361084	3.43348543188229	1.53550136508881	524.7	0.308220700148427	0.137840487520892	0.162402057647705	0.00254838487399709	0.00113967236221795	0.0310211658477783	0.00172678904848161	0.000772243539041414	0.0422075748443604	0.00609008047428359	0.00272356678578845
