studyID	n_cells	n_genes	n_clusters	input MB	bundle MB	shard MB	output MB	prepare s	peak Mb	load s	fetch ms	TF edges	SIG edges
2326	"4,373"	"14,712"	4	361.8	295.1	306.1	786	"3,226"	"3,784"	8.02	62	"1,549,003"	"1,531,394"
2327	"8,464"	"9,861"	3	314.8	77.1	457.6	590.8	"3,015"	"4,153"	2.2	92	"429,516"	"314,348"
2332	"10,537"	"26,040"	13	236.9	73.4	167.5	292	"11,593"	"9,760"	2.1	117	"263,440"	"424,897"
2319	"10,965"	"11,778"	12	911.6	785.6	748.9	"2,022.50"	"7,104"	"8,699"	19.62	109	"3,286,884"	"4,685,586"
2325	"13,605"	"8,846"	7	609.6	314.9	602.8	"1,125.70"	"3,671"	"6,207"	8.58	125	"666,244"	"2,696,465"
2318	"14,675"	"11,147"	7	863.8	482.1	930.4	"1,714.70"	"6,879"	"9,721"	11.13	124	"1,938,848"	"2,884,379"
2331	"15,400"	"21,481"	7	218	73.4	169.5	294.4	"10,501"	"11,309"	2	141	"263,440"	"424,897"
2339	"50,435"	"15,718"	10	"2,722.60"	812	"3,918.90"	"5,240.20"	"31,663"	"26,274"	19.36	403	"4,173,419"	"4,068,560"
2203	"53,958"	"33,645"	8	"2,687.80"	576.9	"3,427.30"	"4,388.90"	"56,663"	"52,257"	14.23	409	"2,144,370"	"3,778,244"
2342	"56,751"	"13,772"	13	"2,650.00"	775.5	"4,258.20"	"5,528.90"	"32,067"	"28,878"	20.23	449	"3,904,489"	"4,005,173"
2338	"96,305"	"15,778"	29	"5,145.40"	"1,363.30"	"7,427.70"	"9,671.80"	"70,729"	"49,097"	34.25	827	"6,557,601"	"6,973,009"
2341	"104,905"	"12,982"	12	"4,626.80"	743.2	"6,579.70"	"7,795.50"	"43,117"	"47,192"	12.75	655	"2,900,665"	"4,723,739"
2333	"138,268"	"18,274"	15	"24,414.00"	105.8	"3,149.10"	"3,332.50"	"9,375"	"49,279"	2.77	"1,208"	"384,817"	"528,311"
