n_cells	n_genes	bundle_bytes	shard_bytes	prepare_seconds	prepare_peak_mb	load_seconds	fetch_median	fetch_mean	fetch_max	n_fetched
500	2000	2708691	1107547	27.834676027298	256.1	0.0955750942230225	0.0141358375549316	0.0165216827392578	0.0767421722412109	25
1000	2000	2743804	2182316	30.0762829780579	282.4	0.0978569984436035	0.015153169631958	0.0153641891479492	0.0186529159545898	25
2000	2000	2846044	4337574	33.9908800125122	297.9	0.0998630523681641	0.0168209075927734	0.017234582901001	0.0212380886077881	25
4000	2000	3052208	8617799	38.9938869476318	286.8	0.102390050888062	0.0217969417572021	0.0227772045135498	0.0380699634552002	25
6000	2000	3249567	12873864	42.6777820587158	310.5	0.108554124832153	0.0255720615386963	0.0265464115142822	0.0304570198059082	25
8000	2000	3480255	17120328	47.3717410564423	316	0.1043701171875	0.0305030345916748	0.0305759716033936	0.0350170135498047	25
10000	2000	3652561	21353023	49.9600059986115	380.4	0.102991104125977	0.0356960296630859	0.0354288673400879	0.0427930355072021	25
500	5000	6516929	2760052	74.027939081192	338.5	0.116065979003906	0.0129609107971191	0.0140419673919678	0.0237178802490234	25
1000	5000	6572301	5436856	75.2451589107513	355.8	0.121580839157104	0.0141589641571045	0.0146743583679199	0.0190517902374268	25
2000	5000	6670194	10808675	84.8436629772186	349.9	0.123202085494995	0.0173089504241943	0.0173588943481445	0.023338794708252	25
4000	5000	6872478	21473697	101.368355035782	339.7	0.119452953338623	0.0216128826141357	0.0221074104309082	0.0272798538208008	25
6000	5000	7073773	32076859	109.527650117874	412.1	0.116097927093506	0.0247230529785156	0.0252852249145508	0.0308070182800293	25
8000	5000	7275099	42649992	123.60879611969	474.7	0.116806983947754	0.0307290554046631	0.0307931327819824	0.0413439273834229	25
10000	5000	7476985	53201982	138.580929994583	472.9	0.122257947921753	0.0352258682250977	0.0360420799255371	0.0462729930877686	25
500	8000	10358356	4411726	113.623444080353	414.7	0.128866910934448	0.0129690170288086	0.0137111377716064	0.0185890197753906	25
1000	8000	10410563	8690969	122.437855005264	343.7	0.130661010742188	0.0145370960235596	0.015402250289917	0.0255939960479736	25
2000	8000	10491617	17278955	140.733319997787	346.3	0.179557085037231	0.0176718235015869	0.0186063957214355	0.0289618968963623	25
4000	8000	10714896	34324608	166.041710853577	349.4	0.131721973419189	0.02140212059021	0.0225175189971924	0.0325760841369629	25
6000	8000	10895603	51281234	189.004842996597	503.9	0.13415789604187	0.0261569023132324	0.0284916687011719	0.0445220470428467	25
8000	8000	11118210	68183683	220.635499954224	504.1	0.14195990562439	0.0302808284759521	0.0311918354034424	0.037168025970459	25
10000	8000	11319582	85051774	247.65783405304	510.6	0.136685848236084	0.0340728759765625	0.0350334644317627	0.0456779003143311	25
500	10000	12889419	5513948	141.676928043365	536.4	0.140480995178223	0.0131049156188965	0.0135784244537354	0.0204331874847412	25
1000	10000	12939901	10861572	155.818167924881	342.8	0.142661094665527	0.0140450000762939	0.0146748352050781	0.0211930274963379	25
2000	10000	13034647	21595130	175.843580007553	331.8	0.139374017715454	0.01590895652771	0.0169674015045166	0.0242631435394287	25
4000	10000	13235660	42892620	215.140057086945	420.5	0.154103994369507	0.0218930244445801	0.0225935649871826	0.0287811756134033	25
6000	10000	13446748	64083134	249.969268083572	518.1	0.144376993179321	0.0243809223175049	0.0252816009521484	0.0332660675048828	25
8000	10000	13643488	85209131	288.596199035645	522.4	0.143487930297852	0.0291211605072021	0.030468225479126	0.0387630462646484	25
10000	10000	13848500	106279483	331.182368993759	528.2	0.151374816894531	0.0352048873901367	0.035512866973877	0.0439419746398926	25
