studyID	n_cells_full	n_cells_expr_only	n_genes_full	n_genes_expr_only	n_clusters_full	n_clusters_expr_only	net_tf_edges_full	net_sig_edges_full	status_full	status_expr_only	note_full	note_expr_only	prepare_seconds_full	prepare_seconds_expr_only	delta_prepare_seconds	prepare_peak_mb_full	prepare_peak_mb_expr_only	delta_prepare_peak_mb	load_seconds_full	load_seconds_expr_only	delta_load_seconds	load_seconds_warm_full	load_seconds_warm_expr_only	delta_load_seconds_warm	bundle_bytes_full	bundle_bytes_expr_only	delta_bundle_bytes	total_output_bytes_full	total_output_bytes_expr_only	delta_total_output_bytes
2202	647366	647366	24929	24929	34	34	0	0	"ok"	"ok"	NA	NA	102247.668275595	119832.02488327	-17584.356607675	12230.1	12230.1	0	1.52688145637512	1.87600469589233	-0.34912323951721	1.43428134918213	1.85775089263916	-0.42346954345703	87401778	87401778	0	8543813343	8543813343	0
2203	53958	53958	33645	33645	8	8	2144370	3778244	"ok"	"ok"	NA	NA	56662.7470092773	6046.67838954926	50616.068619728	52257.1	28066.6	24190.5	14.2261266708374	0.415830850601196	13.8102958202362	14.2091767787933	0.451780319213867	13.7573964595794	604880693	9346391	595534302	4602119116	498869441	4103249675
2306	124	124	20286	20286	8	8	0	0	"ok"	"ok"	NA	NA	797.97509264946	753.326885700226	44.648206949234	366.5	366.6	-0.100000000000023	0.256268501281738	0.239830493927002	0.016438007354736	0.25544810295105	0.237845659255981	0.017602443695069	1158187	1158187	0	18232525	18232525	0
2307	124	124	23571	23571	5	5	0	0	"ok"	"ok"	NA	NA	1036.03691339493	1047.67832064629	-11.6414072513601	351.7	351.8	-0.100000000000023	0.250271081924438	0.262746810913086	-0.012475728988648	0.248131036758423	0.26288628578186	-0.014755249023437	1374097	1374097	0	19246414	19246414	0
2308	182	182	8989	8989	3	3	0	0	"ok"	"ok"	NA	NA	384.040607690811	387.903306722641	-3.86269903183	350	350	0	0.253639698028564	0.278309345245361	-0.024669647216797	0.267072200775146	0.276227712631226	-0.00915551185607999	567235	567235	0	5515211	5515211	0
2309	249	249	6982	6982	11	11	0	0	"ok"	"ok"	NA	NA	309.78123664856	280.769965171814	29.011271476746	351	351	0	0.256722450256348	0.225258111953735	0.031464338302613	0.250836849212646	0.236369609832764	0.014467239379882	444535	444535	0	10044455	10044455	0
2310	317	317	10897	10897	4	4	0	0	"ok"	"ok"	NA	NA	425.999218463898	434.673200368881	-8.67398190498301	389.5	389.5	0	0.250598192214966	0.232520580291748	0.018077611923218	0.249188423156738	0.234744071960449	0.014444351196289	775226	775226	0	4317516	4317516	0
2311	622	622	16383	16383	4	4	0	0	"ok"	"ok"	NA	NA	689.563121795654	641.787273406982	47.775848388672	577.5	577.5	0	0.262911319732666	0.242226362228394	0.020684957504272	0.257367372512817	0.241358518600464	0.016008853912353	1018868	1018868	0	22616106	22616106	0
2312	704	704	13698	13698	3	3	0	0	"ok"	"ok"	NA	NA	777.883076190948	797.710367202759	-19.827291011811	427.4	427.6	-0.200000000000045	0.714241981506348	0.266829490661621	0.447412490844727	0.251042604446411	0.248218774795532	0.00282382965087902	881130	881130	0	56263078	56263078	0
2313	2717	2717	24175	24175	4	4	0	0	"ok"	"ok"	NA	NA	1084.01363277435	1045.34890198708	38.6647307872702	1487.9	1488.2	-0.299999999999955	0.276907682418823	0.263806104660034	0.013101577758789	0.272174835205078	0.261032581329346	0.011142253875732	1657718	1657718	0	208039159	208039159	0
2314	2903	2903	14890	14890	7	7	0	0	"ok"	"ok"	NA	NA	575.804290056229	698.392835140228	-122.588545083999	1144.6	1145	-0.400000000000091	0.201632738113403	0.308609008789062	-0.106976270675659	0.200519800186157	0.311290740966797	-0.11077094078064	1195129	1195129	0	96696726	96696726	0
2315	76317	76317	31642	31642	20	20	0	0	"ok"	"ok"	NA	NA	6058.0844347477	9439.10638999939	-3381.02195525169	37238.2	37238.2	0	0.335810422897339	0.61369776725769	-0.277887344360351	0.334372520446777	0.581074714660645	-0.246702194213868	12767630	12767622	8	3541782530	3541782522	8
2316	97499	97499	22572	22572	28	28	0	0	"ok"	"ok"	NA	NA	5014.69394659996	7770.89713859558	-2756.20319199562	17215	17215	0	0.362999677658081	0.620234966278076	-0.257235288619995	0.361478090286255	0.67048192024231	-0.309003829956055	14377807	14377807	0	1439625592	1439625592	0
2318	14675	14675	11147	11147	7	7	1938848	2884379	"ok"	"ok"	NA	NA	6878.98727583885	940.857499361038	5938.12977647781	9721.4	2890.2	6831.2	11.1335070133209	0.347266674041748	10.7862403392792	11.4611446857452	0.35303807258606	11.1081066131591	505533637	2519631	503014006	1797992121	201894246	1596097875
2319	10965	10965	11778	11778	12	12	3286884	4685586	"ok"	"ok"	NA	NA	7104.38531398773	786.883467674255	6317.50184631347	8698.6	2383.5	6315.1	19.6179614067078	0.306796312332153	19.3111650943756	19.7208197116852	0.308449506759644	19.4123702049256	823744967	2139349	821605618	2120742561	128211088	1992531473
2320	2870	2870	13926	13926	3	3	0	0	"ok"	"ok"	NA	NA	691.923185348511	539.198051214218	152.725134134293	1095	1094.9	0.0999999999999091	0.354718208312988	0.203988552093506	0.150729656219482	0.347464084625244	0.20275354385376	0.144710540771484	1170905	1170905	0	44432029	44432029	0
2321	21922	21922	14866	14866	5	5	0	0	"ok"	"ok"	NA	NA	1459.57788276672	1139.37240672112	320.2054760456	5341.1	5340.6	0.5	0.382946491241455	0.237269401550293	0.145677089691162	0.382575035095215	0.233047723770142	0.149527311325073	3381540	3381540	0	541557797	541557797	0
2322	NA	144810	NA	36601	NA	17	NA	NA	NA	"ok"	NA	NA	NA	30811.8793017864	NA	NA	2921.8	NA	NA	0.449989795684814	NA	NA	0.448609828948975	NA	NA	17876633	NA	NA	1920956340	NA
