n_cells	n_genes	bundle_bytes	shard_bytes	prepare_seconds	prepare_peak_mb	load_seconds	fetch_median	fetch_mean	fetch_max	n_fetched	replicate
500	2000	2708725	1107449	27.7965989112854	256.1	0.0981860160827637	0.0136480331420898	0.0140640735626221	0.0175411701202393	25	1
500	2000	2708748	1107454	29.5931777954102	254.6	0.0970559120178223	0.0146219730377197	0.0150494289398193	0.0230820178985596	25	2
500	2000	2708908	1107800	29.8807260990143	271.5	0.0986499786376953	0.0142300128936768	0.014346866607666	0.0171031951904297	25	3
500	2000	2708869	1107856	30.0970520973206	271.9	0.102153062820435	0.0141749382019043	0.0138861179351807	0.0170929431915283	25	4
500	2000	2708840	1107130	30.5530228614807	270.5	0.103991985321045	0.0143358707427979	0.0144363594055176	0.0254309177398682	25	5
1000	2000	2743456	2182446	30.522705078125	290.1	0.0994648933410645	0.0146019458770752	0.0152115631103516	0.0178380012512207	25	1
1000	2000	2743501	2181342	30.226185798645	299	0.0981121063232422	0.0144281387329102	0.0146909618377686	0.0176801681518555	25	2
1000	2000	2743819	2181370	30.3854558467865	289.1	0.0996301174163818	0.015106201171875	0.0152120208740234	0.0188219547271729	25	3
1000	2000	2743324	2181557	29.4778280258179	281.6	0.10079288482666	0.0147619247436523	0.0150771903991699	0.0213639736175537	25	4
1000	2000	2743436	2181851	29.2137019634247	299.1	0.104134798049927	0.0138270854949951	0.0170596885681152	0.0789539813995361	25	5
2000	2000	2846097	4337902	32.3754909038544	297.4	0.0985479354858398	0.0165510177612305	0.0167166805267334	0.0281820297241211	25	1
2000	2000	2846341	4338291	32.4502470493317	299.7	0.0971529483795166	0.0165820121765137	0.0168375205993652	0.0205111503601074	25	2
2000	2000	2846478	4338178	32.1798810958862	297.9	0.0999970436096191	0.0163149833679199	0.0168908596038818	0.0212349891662598	25	3
2000	2000	2846267	4338304	32.1173508167267	300.3	0.0998499393463135	0.0162789821624756	0.0177395343780518	0.034066915512085	25	4
2000	2000	2846397	4337581	32.6237909793854	298.4	0.101355075836182	0.0155529975891113	0.0164178657531738	0.0202128887176514	25	5
4000	2000	3052268	8618123	36.6226320266724	282.5	0.0985732078552246	0.0205578804016113	0.021105899810791	0.023198127746582	25	1
4000	2000	3052005	8617548	36.6758570671082	297.8	0.113823175430298	0.0218949317932129	0.0259072494506836	0.0725879669189453	25	2
4000	2000	3051976	8618000	36.9227931499481	284.7	0.103133201599121	0.0209720134735107	0.0211387538909912	0.0296700000762939	25	3
4000	2000	3051692	8618025	36.3044459819794	293.9	0.100836992263794	0.020845890045166	0.0209614562988281	0.0252969264984131	25	4
4000	2000	3051878	8617827	36.3192667961121	286	0.0988879203796387	0.0209701061248779	0.0216121578216553	0.0314850807189941	25	5
6000	2000	3249936	12873691	39.8452038764954	301.1	0.10213303565979	0.0251410007476807	0.0253898048400879	0.0288140773773193	25	1
6000	2000	3249996	12874042	39.9588351249695	306.1	0.101747035980225	0.0247039794921875	0.0254565525054932	0.0320770740509033	25	2
6000	2000	3249945	12875408	39.7974789142609	332.4	0.103422164916992	0.024960994720459	0.0280756759643555	0.092674970626831	25	3
6000	2000	3249938	12873781	39.9490149021149	310	0.101558923721313	0.0254039764404297	0.0268530559539795	0.0569720268249512	25	4
6000	2000	3249980	12873940	40.3399090766907	303.9	0.101760864257812	0.0248510837554932	0.0252598094940186	0.0286400318145752	25	5
8000	2000	3479660	17118834	44.8617420196533	308.6	0.102617025375366	0.028162956237793	0.029006986618042	0.0373609066009521	25	1
8000	2000	3479642	17118423	44.9694368839264	311.3	0.104339122772217	0.0293381214141846	0.032208833694458	0.0983550548553467	25	2
8000	2000	3479678	17119434	45.5770390033722	337.9	0.104395151138306	0.0295560359954834	0.0326659393310547	0.0985088348388672	25	3
8000	2000	3479739	17118129	45.1963059902191	306.3	0.100643157958984	0.0289990901947021	0.0300745964050293	0.0408890247344971	25	4
8000	2000	3479707	17118032	45.1416161060333	331.3	0.110269069671631	0.0296499729156494	0.0318630218505859	0.0726351737976074	25	5
10000	2000	3652562	21352625	48.529305934906	381.4	0.107209205627441	0.0343649387359619	0.0343903827667236	0.0387978553771973	25	1
