studyID	n_cells	n_genes	n_clusters	input MB	bundle MB	shard MB	output MB	prepare s	peak Mb	load s	fetch ms	TF edges	SIG edges
2306	124	20,286	8	7.0	1.1	13.6	17.4	1,052	369	0.25	43	—	—
2307	124	23,571	5	7.3	1.3	13.8	18.4	1,176	352	0.25	43	—	—
2308	182	8,989	3	3.0	0.5	3.5	5.3	421	350	0.22	39	—	—
2309	249	6,982	11	3.4	0.4	8.2	9.6	330	352	0.21	39	—	—
2310	317	10,897	4	1.2	0.7	1.7	4.1	507	355	0.22	42	—	—
2311	622	16,383	4	6.8	1.0	18.3	21.6	812	486	0.24	43	—	—
2312	704	13,698	3	30.6	0.8	50.9	53.7	915	427	0.24	51	—	—
2313	2,717	24,175	4	27.3	1.6	193.3	198.4	2,701	1,244	0.26	89	—	—
2320	2,870	13,926	3	10.1	1.1	38.9	42.4	880	836	0.23	59	—	—
2314	2,903	14,890	7	17.6	1.1	88.7	92.2	1,082	932	0.22	54	—	—
2326	4,373	14,712	4	361.8	295.1	306.1	786.0	5,542	3,079	5.16	68	1,549,003	1,531,394
2327	8,464	9,861	3	314.8	77.1	457.6	590.8	4,390	3,241	1.44	99	429,516	314,348
2332	10,537	26,040	13	191.1	4.1	167.5	182.0	30,761	7,327	0.42	134	—	—
2319	10,965	11,778	12	911.6	785.6	748.9	2,022.5	5,756	6,466	15.34	131	3,286,884	4,685,586
2325	13,605	8,846	7	609.6	314.9	602.8	1,125.7	4,090	4,878	4.31	112	666,244	2,696,465
2318	14,675	11,147	7	863.8	482.1	930.4	1,714.7	5,930	6,696	6.05	140	1,938,848	2,884,379
2331	15,400	21,481	7	218.0	73.4	169.5	294.4	15,488	9,060	1.36	143	263,440	424,897
2324	18,644	9,619	10	30.8	2.4	84.3	89.7	873	1,754	0.33	159	—	—
2321	21,922	14,866	5	114.4	3.2	508.3	516.5	3,594	3,550	0.26	196	—	—
2339	50,435	15,718	10	2,722.6	812.0	3,918.9	5,240.2	30,764	26,268	7.41	295	4,173,419	4,068,560
2203	53,958	33,645	8	2,687.8	576.9	3,427.3	4,388.9	60,006	36,242	6.99	412	2,144,370	3,778,244
2342	56,751	13,772	13	2,650.0	775.5	4,258.2	5,528.9	34,587	28,853	10.26	377	3,904,489	4,005,173
2315	76,317	31,642	20	818.2	12.2	3,346.8	3,377.7	37,963	23,512	0.33	641	—	—
2338	96,305	15,778	29	5,145.4	1,363.3	7,427.7	9,671.8	58,263	49,074	12.27	539	6,557,601	6,973,009
2316	97,499	22,572	28	418.4	13.7	1,340.6	1,372.9	7,703	17,215	0.44	824	—	—
2341	104,905	12,982	12	4,626.8	743.2	6,579.7	7,795.5	59,672	46,354	8.07	715	2,900,665	4,723,739
2333	138,268	18,274	15	24,414.0	105.8	3,149.1	3,332.5	8,795	49,284	1.56	1,249	384,817	528,311
