"modality","gene"
"expression","Cd8a"
"expression","Cd8b1"
"expression","Cd3e"
"expression","Cd3d"
"expression","Cd3g"
"expression","Cd2"
"expression","Cd5"
"expression","Cd7"
"expression","Pdcd1"
"expression","Lag3"
"expression","Havcr2"
"expression","Tigit"
"expression","Tox"
"expression","Tcf7"
"expression","Eomes"
"expression","Tbx21"
"expression","Ifng"
"expression","Gzmb"
"expression","Gzmk"
"expression","Prf1"
"expression","Il2"
"expression","Il7r"
"expression","Il2rb"
"expression","Ctla4"
"expression","Cd28"
"expression","Icos"
"expression","Cd44"
"expression","Sell"
"expression","Klrg1"
"expression","Cd69"
"expression","Cxcr3"
"expression","Cxcr5"
"expression","Ccr7"
"expression","Ccr5"
"expression","Nkg7"
"expression","Klf2"
"expression","Bach2"
"expression","Runx3"
"expression","Stat1"
"expression","Stat3"
"expression","Stat4"
"expression","Stat5a"
"expression","Irf4"
"expression","Irf8"
"expression","Batf"
"expression","Nr4a1"
"expression","Nr4a2"
"expression","Nr4a3"
"expression","Ezh2"
"expression","Foxo1"
"expression","Myc"
"expression","Hif1a"
"expression","Mki67"
"expression","Top2a"
"expression","Lef1"
"expression","Itga4"
"expression","S1pr1"
"expression","S1pr5"
"expression","Bcl2"
"expression","Bax"
"expression","Gata3"
"expression","Rora"
"expression","Maf"
"expression","Ikzf2"
"expression","Tnfrsf9"
"expression","Tnfrsf4"
"expression","Tnfrsf18"
"activity_sig","Cd8a"
"activity_sig","Cd8b1"
"activity_sig","Cd3e"
"activity_sig","Cd3d"
"activity_sig","Cd3g"
"activity_sig","Cd2"
"activity_sig","Cd5"
"activity_sig","Cd7"
"activity_sig","Pdcd1"
"activity_sig","Lag3"
"activity_sig","Havcr2"
"activity_sig","Tigit"
"activity_sig","Tcf7"
"activity_sig","Eomes"
"activity_sig","Tbx21"
"activity_sig","Ifng"
"activity_sig","Gzmb"
"activity_sig","Gzmk"
"activity_sig","Prf1"
"activity_sig","Il2"
"activity_sig","Il7r"
"activity_sig","Il2rb"
"activity_sig","Ctla4"
"activity_sig","Cd28"
"activity_sig","Icos"
"activity_sig","Cd44"
"activity_sig","Sell"
"activity_sig","Klrg1"
"activity_sig","Cd69"
"activity_sig","Cxcr3"
"activity_sig","Cxcr5"
"activity_sig","Ccr7"
"activity_sig","Ccr5"
"activity_sig","Runx3"
"activity_sig","Stat1"
"activity_sig","Stat3"
"activity_sig","Stat4"
"activity_sig","Stat5a"
"activity_sig","Irf4"
"activity_sig","Irf8"
"activity_sig","Batf"
"activity_sig","Nr4a1"
"activity_sig","Nr4a2"
"activity_sig","Ezh2"
"activity_sig","Hif1a"
"activity_sig","Mki67"
"activity_sig","Top2a"
"activity_sig","Lef1"
"activity_sig","Itga4"
"activity_sig","S1pr1"
"activity_sig","S1pr5"
"activity_sig","Bcl2"
"activity_sig","Bax"
"activity_sig","Gata3"
"activity_sig","Rora"
"activity_sig","Maf"
"activity_sig","Tnfrsf9"
"activity_sig","Tnfrsf4"
"activity_sig","Tnfrsf18"
"activity_sig","2310033P09Rik"
"activity_sig","2410004B18Rik"
"activity_sig","2810004N23Rik"
"activity_sig","2810006K23Rik"
"activity_sig","3110001I22Rik"
"activity_sig","4931406C07Rik"
"activity_sig","4931414P19Rik"
"activity_sig","9930021J03Rik"
"activity_tf","Tox"
"activity_tf","Tcf7"
"activity_tf","Eomes"
"activity_tf","Tbx21"
"activity_tf","Klf2"
"activity_tf","Bach2"
"activity_tf","Runx3"
"activity_tf","Stat1"
"activity_tf","Stat3"
"activity_tf","Stat4"
"activity_tf","Stat5a"
"activity_tf","Irf4"
"activity_tf","Irf8"
"activity_tf","Batf"
"activity_tf","Nr4a1"
"activity_tf","Nr4a2"
"activity_tf","Nr4a3"
"activity_tf","Foxo1"
"activity_tf","Myc"
"activity_tf","Hif1a"
"activity_tf","Lef1"
"activity_tf","Gata3"
"activity_tf","Rora"
"activity_tf","Maf"
"activity_tf","Ikzf2"
"activity_tf","A430033K04Rik"
"activity_tf","Aatf"
"activity_tf","Adnp2"
"activity_tf","Aebp2"
"activity_tf","Aff1"
"activity_tf","Aff3"
"activity_tf","Aff4"
"activity_tf","Ahctf1"
"activity_tf","Ahdc1"
"activity_tf","Ahr"
"activity_tf","Akap8"
"activity_tf","Akap8l"
"activity_tf","Akna"
"activity_tf","Ankzf1"
"activity_tf","Ap5z1"
"activity_tf","Ar"
"activity_tf","Arid2"
"activity_tf","Arid3a"
"activity_tf","Arid3b"
"activity_tf","Arid4a"
"activity_tf","Arid5a"
"activity_tf","Arid5b"
"activity_tf","Arnt"
"activity_tf","Arntl"
"activity_tf","Ash1l"
"activity_tf","Ash2l"
"activity_tf","Atf1"
"activity_tf","Atf2"
"activity_tf","Atf4"
"activity_tf","Atf5"
"activity_tf","Atf6"
"activity_tf","Atf6b"
"activity_tf","Atf7"
"activity_tf","Atmin"
"activity_tf","Bach1"
"activity_tf","Baz1a"
"activity_tf","Baz1b"
"activity_tf","Baz2a"
"activity_tf","Baz2b"
"activity_tf","Bbx"
"activity_tf","BC025920"
